pop rep mig tem esp abund1 abund2 
400 1 6.94848e-310 0 1 200 200 
400 1 0.0976101 10 1 200 200 
400 1 0.0976101 20 1 200 200 
400 1 0.0976101 30 1 200 200 
400 1 0.0976101 40 1 200 200 
400 1 0 50 1 200 200 
400 1 0 60 1 200 200 
400 1 0 70 1 200 200 
400 1 0.0976101 80 1 200 200 
400 1 0.0976101 90 1 200 200 
400 1 0.0976101 100 1 200 200 
400 1 0.0976101 110 1 200 200 
400 1 0.0976101 120 1 200 200 
400 1 0.0976101 130 1 200 200 
400 1 0.0976101 140 1 200 200 
400 1 0.0976101 150 1 200 200 
400 1 0.0976101 160 1 200 200 
400 1 0.0976101 170 1 200 200 
400 1 0.0976101 180 1 200 200 
400 1 0.0976101 190 1 200 200 
400 1 0.0976101 200 1 200 200 
400 1 0.0976101 210 1 200 200 
400 1 0.0976101 220 1 200 200 
400 1 0.0976101 230 1 200 200 
400 1 0.0976101 240 1 200 200 
400 1 0 250 1 200 200 
400 1 0 260 1 200 200 
400 1 0 270 1 200 200 
400 1 0 280 1 200 200 
400 1 0.0976101 290 1 200 200 
400 1 0.0976101 300 1 200 200 
400 1 0.0976101 310 1 200 200 
400 1 0.0976101 320 1 200 200 
400 1 0.0976101 330 1 200 200 
400 1 0.0976101 340 1 200 200 
400 1 0.0976101 350 1 200 200 
400 1 0.0976101 360 1 200 200 
400 1 0.0976101 370 1 200 200 
400 1 0.0976101 380 1 200 200 
400 1 0.0976101 390 1 200 200 
400 1 0.0976101 400 1 200 200 
400 1 0.0976101 410 1 200 200 
400 1 0.0976101 420 1 200 200 
400 1 0.0976101 430 1 200 200 
400 1 0.0976101 440 1 200 200 
400 1 0.0976101 450 1 200 200 
400 1 0 460 1 200 200 
400 1 0 470 1 200 200 
400 1 0 480 1 200 200 
400 1 0.0976101 490 1 200 200 
400 1 0.0976101 500 1 200 199 
400 1 0.0976101 500 2 0 1 
400 1 0.0976101 510 1 200 200 
400 1 0.0976101 520 1 200 200 
400 1 0.0976101 530 1 200 200 
400 1 0.0976101 540 1 200 200 
400 1 0.0976101 550 1 200 200 
400 1 0 560 1 200 200 
400 1 0 570 1 200 200 
400 1 0 580 1 200 200 
400 1 0.0976101 590 1 200 200 
400 1 0.0976101 600 1 200 200 
400 1 0.0976101 610 1 200 200 
400 1 0.0976101 620 1 199 200 
400 1 0.0976101 620 3 1 0 
400 1 0.0976101 630 1 200 200 
400 1 0.0976101 640 1 200 200 
400 1 0.0976101 650 1 200 200 
400 1 0.0976101 660 1 200 200 
400 1 0.0976101 670 1 200 200 
400 1 0.0976101 680 1 200 200 
400 1 0.0976101 690 1 200 200 
400 1 0.0976101 700 1 200 200 
400 1 0.0976101 710 1 200 200 
400 1 0.0976101 720 1 200 200 
400 1 0.0976101 730 1 200 200 
400 1 0.0976101 740 1 200 200 
400 1 0 750 1 200 200 
400 1 0 760 1 200 200 
