pop rep mig tem esp abund1 abund2 
400 1 6.90927e-310 0 1 200 200 
400 1 0.00244025 10 1 200 200 
400 1 0.00244025 20 1 200 200 
400 1 0.00244025 30 1 200 200 
400 1 0.00244025 40 1 200 200 
400 1 0 50 1 200 200 
400 1 0 60 1 200 200 
400 1 0 70 1 200 200 
400 1 0.00244025 80 1 200 200 
400 1 0.00244025 90 1 200 200 
400 1 0.00244025 100 1 200 200 
400 1 0.00244025 110 1 200 200 
400 1 0.00244025 120 1 200 200 
400 1 0.00244025 130 1 200 200 
400 1 0.00244025 140 1 200 200 
400 1 0.00244025 150 1 200 200 
400 1 0.00244025 160 2 173 0 
400 1 0.00244025 160 1 27 200 
400 1 0.00244025 170 3 8 0 
400 1 0.00244025 170 1 0 200 
400 1 0.00244025 170 2 192 0 
400 1 0.00244025 180 1 0 200 
400 1 0.00244025 180 2 197 0 
400 1 0.00244025 180 3 3 0 
400 1 0.00244025 190 1 0 200 
400 1 0.00244025 190 2 200 0 
400 1 0.00244025 200 1 0 200 
400 1 0.00244025 200 2 200 0 
400 1 0.00244025 210 1 0 200 
400 1 0.00244025 210 2 200 0 
400 1 0.00244025 220 1 0 200 
400 1 0.00244025 220 2 200 0 
400 1 0.00244025 230 1 0 200 
400 1 0.00244025 230 2 200 0 
400 1 0.00244025 240 1 0 200 
400 1 0.00244025 240 2 200 0 
400 1 0 250 1 0 200 
400 1 0 250 2 200 0 
400 1 0 260 1 0 200 
400 1 0 260 2 200 0 
400 1 0 270 1 0 200 
400 1 0 270 2 200 0 
400 1 0 280 1 0 200 
400 1 0 280 2 200 0 
400 1 0.00244025 290 1 0 200 
400 1 0.00244025 290 2 200 0 
400 1 0.00244025 300 1 0 200 
400 1 0.00244025 300 2 200 0 
400 1 0.00244025 310 1 2 200 
400 1 0.00244025 310 2 198 0 
400 1 0.00244025 320 1 0 200 
400 1 0.00244025 320 2 200 0 
400 1 0.00244025 330 1 0 200 
400 1 0.00244025 330 2 200 0 
400 1 0.00244025 340 1 0 200 
400 1 0.00244025 340 2 200 0 
400 1 0.00244025 350 1 0 200 
400 1 0.00244025 350 2 200 0 
400 1 0.00244025 360 1 0 200 
400 1 0.00244025 360 2 200 0 
400 1 0.00244025 370 1 1 200 
400 1 0.00244025 370 2 199 0 
400 1 0.00244025 380 1 0 200 
400 1 0.00244025 380 2 200 0 
400 1 0.00244025 390 1 0 200 
400 1 0.00244025 390 2 200 0 
400 1 0.00244025 400 1 2 200 
400 1 0.00244025 400 2 198 0 
400 1 0.00244025 410 1 0 200 
400 1 0.00244025 410 2 200 0 
400 1 0.00244025 420 1 0 200 
400 1 0.00244025 420 2 200 0 
400 1 0.00244025 430 1 6 199 
400 1 0.00244025 430 4 0 1 
400 1 0.00244025 430 2 194 0 
400 1 0.00244025 440 1 34 200 
400 1 0.00244025 440 2 159 0 
400 1 0.00244025 440 5 7 0 
400 1 0.00244025 450 6 39 0 
400 1 0.00244025 450 1 0 200 
400 1 0.00244025 450 2 161 0 
400 1 0 460 1 0 200 
400 1 0 460 2 180 0 
400 1 0 460 6 20 0 
400 1 0 470 1 0 200 
400 1 0 470 2 165 0 
400 1 0 470 6 35 0 
400 1 0 480 1 0 200 
400 1 0 480 2 159 0 
400 1 0 480 6 41 0 
400 1 0.00244025 490 1 0 200 
400 1 0.00244025 490 2 160 0 
400 1 0.00244025 490 6 40 0 
400 1 0.00244025 500 1 0 200 
400 1 0.00244025 500 2 152 0 
400 1 0.00244025 500 6 48 0 
400 1 0.00244025 510 1 0 200 
400 1 0.00244025 510 2 179 0 
400 1 0.00244025 510 6 21 0 
400 1 0.00244025 520 1 0 200 
400 1 0.00244025 520 2 171 0 
400 1 0.00244025 520 6 29 0 
400 1 0.00244025 530 1 0 200 
400 1 0.00244025 530 2 183 0 
400 1 0.00244025 530 6 17 0 
400 1 0.00244025 540 1 0 200 
400 1 0.00244025 540 2 174 0 
400 1 0.00244025 540 6 26 0 
400 1 0.00244025 550 1 11 200 
400 1 0.00244025 550 2 131 0 
400 1 0.00244025 550 6 58 0 
400 1 0 560 7 18 0 
400 1 0 560 1 0 200 
400 1 0 560 2 160 0 
400 1 0 560 6 22 0 
400 1 0 570 1 0 200 
400 1 0 570 2 166 0 
400 1 0 570 6 13 0 
400 1 0 570 7 21 0 
400 1 0 580 1 0 200 
400 1 0 580 2 177 0 
400 1 0 580 8 1 0 
400 1 0 580 6 19 0 
400 1 0 580 7 3 0 
400 1 0.00244025 590 1 0 200 
400 1 0.00244025 590 2 164 0 
400 1 0.00244025 590 6 36 0 
400 1 0.00244025 600 1 0 200 
400 1 0.00244025 600 2 161 0 
400 1 0.00244025 600 6 39 0 
400 1 0.00244025 610 1 0 200 
400 1 0.00244025 610 2 183 0 
400 1 0.00244025 610 6 17 0 
400 1 0.00244025 620 1 0 200 
400 1 0.00244025 620 2 200 0 
400 1 0.00244025 630 1 0 200 
400 1 0.00244025 630 2 200 0 
400 1 0.00244025 640 1 0 200 
400 1 0.00244025 640 2 200 0 
400 1 0.00244025 650 1 0 200 
400 1 0.00244025 650 2 200 0 
400 1 0.00244025 660 1 0 200 
400 1 0.00244025 660 2 200 0 
400 1 0.00244025 670 1 0 200 
400 1 0.00244025 670 2 199 0 
400 1 0.00244025 670 9 1 0 
400 1 0.00244025 680 1 0 200 
400 1 0.00244025 680 2 200 0 
400 1 0.00244025 690 1 0 200 
400 1 0.00244025 690 2 200 0 
400 1 0.00244025 700 1 0 195 
400 1 0.00244025 700 2 200 5 
400 1 0.00244025 710 1 2 200 
400 1 0.00244025 710 2 198 0 
400 1 0.00244025 720 1 0 199 
400 1 0.00244025 720 10 0 1 
400 1 0.00244025 720 2 200 0 
400 1 0.00244025 730 1 0 200 
400 1 0.00244025 730 2 200 0 
400 1 0.00244025 740 1 0 196 
400 1 0.00244025 740 11 0 4 
400 1 0.00244025 740 2 200 0 
400 1 0 750 1 0 196 
400 1 0 750 2 200 0 
400 1 0 750 11 0 4 
400 1 0 760 1 0 200 
400 1 0 760 2 200 0 
400 1 0 770 1 0 200 
400 1 0 770 2 200 0 
400 1 0 780 1 0 200 
400 1 0 780 2 200 0 
400 1 0.00244025 790 1 0 200 
400 1 0.00244025 790 2 200 0 
400 1 0.00244025 800 1 0 200 
400 1 0.00244025 800 2 198 0 
400 1 0.00244025 800 12 2 0 
400 1 0.00244025 810 1 0 200 
400 1 0.00244025 810 2 200 0 
400 1 0.00244025 820 1 0 200 
400 1 0.00244025 820 2 200 0 
400 1 0.00244025 830 1 0 196 
400 1 0.00244025 830 2 200 4 
400 1 0.00244025 840 1 0 200 
400 1 0.00244025 840 2 200 0 
400 1 0.00244025 850 1 0 200 
400 1 0.00244025 850 2 200 0 
400 1 0.00244025 860 1 0 200 
400 1 0.00244025 860 2 200 0 
400 1 0.00244025 870 1 0 200 
400 1 0.00244025 870 2 200 0 
400 1 0.00244025 880 1 1 200 
400 1 0.00244025 880 2 199 0 
400 1 0.00244025 890 1 0 200 
400 1 0.00244025 890 2 200 0 
400 1 0.00244025 900 1 0 200 
400 1 0.00244025 900 2 200 0 
400 1 0.00244025 910 1 0 200 
400 1 0.00244025 910 2 200 0 
400 1 0.00244025 920 1 0 200 
400 1 0.00244025 920 2 200 0 
400 1 0.00244025 930 1 0 200 
400 1 0.00244025 930 2 200 0 
400 1 0.00244025 940 1 4 200 
400 1 0.00244025 940 2 196 0 
400 1 0.00244025 950 1 0 200 
400 1 0.00244025 950 2 200 0 
400 1 0.00244025 960 1 0 200 
400 1 0.00244025 960 2 200 0 
400 1 0 970 1 0 200 
400 1 0 970 2 199 0 
400 1 0 970 13 1 0 
400 1 0 980 1 0 200 
400 1 0 980 2 200 0 
400 1 0 990 1 0 200 
400 1 0 990 2 200 0 
400 1 0 1000 1 0 200 
400 1 0 1000 2 200 0 
400 1 0 1010 1 0 200 
400 1 0 1010 2 200 0 
400 1 0 1020 1 0 200 
400 1 0 1020 2 200 0 
400 1 0 1030 1 0 200 
400 1 0 1030 2 200 0 
400 1 0.00244025 1040 1 0 200 
400 1 0.00244025 1040 2 200 0 
400 1 0.00244025 1050 1 0 200 
400 1 0.00244025 1050 2 200 0 
400 1 0.00244025 1060 1 0 200 
400 1 0.00244025 1060 2 200 0 
400 1 0.00244025 1070 1 0 200 
400 1 0.00244025 1070 2 200 0 
400 1 0.00244025 1080 1 0 200 
400 1 0.00244025 1080 2 200 0 
400 1 0.00244025 1090 1 0 200 
400 1 0.00244025 1090 2 200 0 
400 1 0.00244025 1100 1 0 200 
400 1 0.00244025 1100 2 200 0 
400 1 0.00244025 1110 1 0 200 
400 1 0.00244025 1110 2 200 0 
400 1 0.00244025 1120 1 0 200 
400 1 0.00244025 1120 2 200 0 
400 1 0.00244025 1130 1 0 200 
400 1 0.00244025 1130 2 200 0 
400 1 0.00244025 1140 1 0 200 
400 1 0.00244025 1140 2 200 0 
400 1 0.00244025 1150 1 0 200 
400 1 0.00244025 1150 2 200 0 
400 1 0.00244025 1160 1 5 200 
400 1 0.00244025 1160 2 195 0 
400 1 0.00244025 1170 1 10 200 
400 1 0.00244025 1170 2 190 0 
400 1 0 1180 14 12 0 
400 1 0 1180 1 0 200 
400 1 0 1180 2 188 0 
400 1 0 1190 1 0 200 
400 1 0 1190 2 199 0 
400 1 0 1190 14 1 0 
400 1 0 1200 1 0 200 
400 1 0 1200 2 200 0 
400 1 0 1210 1 0 200 
400 1 0 1210 2 200 0 
400 1 0 1220 1 0 200 
400 1 0 1220 2 200 0 
400 1 0.00244025 1230 1 0 200 
400 1 0.00244025 1230 2 200 0 
400 1 0.00244025 1240 1 0 200 
400 1 0.00244025 1240 2 200 0 
400 1 0.00244025 1250 1 0 200 
400 1 0.00244025 1250 2 200 0 
400 1 0.00244025 1260 1 0 200 
400 1 0.00244025 1260 2 200 0 
400 1 0.00244025 1270 1 0 200 
400 1 0.00244025 1270 2 200 0 
400 1 0.00244025 1280 1 0 200 
400 1 0.00244025 1280 2 200 0 
400 1 0.00244025 1290 1 9 200 
400 1 0.00244025 1290 2 191 0 
400 1 0.00244025 1300 15 15 0 
400 1 0.00244025 1300 1 0 200 
400 1 0.00244025 1300 2 185 0 
400 1 0.00244025 1310 1 0 200 
400 1 0.00244025 1310 2 172 0 
400 1 0.00244025 1310 15 28 0 
400 1 0.00244025 1320 1 0 200 
400 1 0.00244025 1320 2 190 0 
400 1 0.00244025 1320 15 10 0 
400 1 0.00244025 1330 1 0 200 
400 1 0.00244025 1330 2 159 0 
400 1 0.00244025 1330 15 41 0 
400 1 0.00244025 1340 1 0 200 
400 1 0.00244025 1340 2 168 0 
400 1 0.00244025 1340 15 32 0 
400 1 0.00244025 1350 1 0 200 
400 1 0.00244025 1350 2 167 0 
400 1 0.00244025 1350 15 33 0 
400 1 0.00244025 1360 1 0 199 
400 1 0.00244025 1360 2 183 1 
400 1 0.00244025 1360 16 2 0 
400 1 0.00244025 1360 15 15 0 
400 1 0.00244025 1370 1 0 199 
400 1 0.00244025 1370 2 184 1 
400 1 0.00244025 1370 15 16 0 
400 1 0.00244025 1380 1 0 200 
400 1 0.00244025 1380 2 192 0 
400 1 0.00244025 1380 15 8 0 
400 1 0.00244025 1390 1 0 200 
400 1 0.00244025 1390 2 174 0 
400 1 0.00244025 1390 15 26 0 
400 1 0.00244025 1400 1 0 200 
400 1 0.00244025 1400 2 151 0 
400 1 0.00244025 1400 15 49 0 
400 1 0 1410 1 0 200 
400 1 0 1410 2 165 0 
400 1 0 1410 15 35 0 
400 1 0.00244025 1420 1 0 200 
400 1 0.00244025 1420 2 189 0 
400 1 0.00244025 1420 15 11 0 
400 1 0.00244025 1430 1 0 200 
400 1 0.00244025 1430 2 177 0 
400 1 0.00244025 1430 15 23 0 
400 1 0.00244025 1440 1 0 200 
400 1 0.00244025 1440 2 193 0 
400 1 0.00244025 1440 15 7 0 
400 1 0.00244025 1450 1 0 200 
400 1 0.00244025 1450 2 174 0 
400 1 0.00244025 1450 17 2 0 
400 1 0.00244025 1450 15 24 0 
400 1 0 1460 1 0 200 
400 1 0 1460 2 183 0 
400 1 0 1460 18 1 0 
400 1 0 1460 15 16 0 
400 1 0 1470 1 0 200 
400 1 0 1470 2 185 0 
400 1 0 1470 15 15 0 
400 1 0 1480 1 0 200 
400 1 0 1480 2 189 0 
400 1 0 1480 15 11 0 
400 1 0.00244025 1490 1 0 200 
400 1 0.00244025 1490 2 182 0 
400 1 0.00244025 1490 15 18 0 
400 1 0 1500 1 0 200 
400 1 0 1500 2 176 0 
400 1 0 1500 15 24 0 
400 1 0.00244025 1510 1 0 200 
400 1 0.00244025 1510 2 180 0 
400 1 0.00244025 1510 15 20 0 
400 1 0.00244025 1520 1 0 200 
400 1 0.00244025 1520 2 191 0 
400 1 0.00244025 1520 15 9 0 
400 1 0.00244025 1530 1 0 200 
400 1 0.00244025 1530 2 177 0 
400 1 0.00244025 1530 15 23 0 
400 1 0.00244025 1540 1 0 200 
400 1 0.00244025 1540 2 187 0 
400 1 0.00244025 1540 15 13 0 
400 1 0.00244025 1550 1 0 200 
400 1 0.00244025 1550 2 193 0 
400 1 0.00244025 1550 15 7 0 
400 1 0.00244025 1560 1 0 200 
400 1 0.00244025 1560 2 199 0 
400 1 0.00244025 1560 19 1 0 
400 1 0.00244025 1570 1 1 200 
400 1 0.00244025 1570 2 199 0 
400 1 0.00244025 1580 1 0 200 
400 1 0.00244025 1580 2 200 0 
400 1 0.00244025 1590 1 0 200 
400 1 0.00244025 1590 2 193 0 
400 1 0.00244025 1590 20 7 0 
400 1 0.00244025 1600 1 0 197 
400 1 0.00244025 1600 2 200 3 
400 1 0.00244025 1610 1 0 199 
400 1 0.00244025 1610 2 200 0 
400 1 0.00244025 1610 21 0 1 
400 1 0.00244025 1620 1 0 200 
400 1 0.00244025 1620 2 200 0 
400 1 0.00244025 1630 1 0 200 
400 1 0.00244025 1630 2 200 0 
400 1 0.00244025 1640 1 0 200 
400 1 0.00244025 1640 2 200 0 
400 1 0.00244025 1650 1 0 200 
400 1 0.00244025 1650 2 200 0 
400 1 0.00244025 1660 1 2 200 
400 1 0.00244025 1660 2 198 0 
400 1 0.00244025 1670 1 0 200 
400 1 0.00244025 1670 2 198 0 
400 1 0.00244025 1670 22 2 0 
400 1 0.00244025 1680 1 0 200 
400 1 0.00244025 1680 2 200 0 
400 1 0 1690 1 0 200 
400 1 0 1690 2 200 0 
400 1 0 1700 1 0 200 
400 1 0 1700 2 200 0 
400 1 0.00244025 1710 1 0 200 
400 1 0.00244025 1710 2 200 0 
400 1 0.00244025 1720 1 0 200 
400 1 0.00244025 1720 2 200 0 
400 1 0.00244025 1730 1 0 200 
400 1 0.00244025 1730 2 200 0 
400 1 0.00244025 1740 1 0 200 
400 1 0.00244025 1740 2 200 0 
400 1 0 1750 1 0 200 
400 1 0 1750 2 200 0 
400 1 0.00244025 1760 1 0 200 
400 1 0.00244025 1760 2 200 0 
400 1 0.00244025 1770 1 0 200 
400 1 0.00244025 1770 2 200 0 
400 1 0.00244025 1780 1 0 200 
400 1 0.00244025 1780 2 200 0 
400 1 0.00244025 1790 1 0 200 
400 1 0.00244025 1790 2 200 0 
400 1 0.00244025 1800 1 0 200 
400 1 0.00244025 1800 2 200 0 
400 1 0.00244025 1810 1 0 200 
400 1 0.00244025 1810 2 198 0 
400 1 0.00244025 1810 23 2 0 
400 1 0.00244025 1820 1 0 200 
400 1 0.00244025 1820 2 200 0 
400 1 0.00244025 1830 1 0 187 
400 1 0.00244025 1830 2 200 13 
400 1 0.00244025 1840 1 0 183 
400 1 0.00244025 1840 2 200 0 
400 1 0.00244025 1840 24 0 17 
400 1 0.00244025 1850 1 0 173 
400 1 0.00244025 1850 2 190 0 
400 1 0.00244025 1850 25 10 0 
400 1 0.00244025 1850 24 0 27 
400 1 0.00244025 1860 1 0 159 
400 1 0.00244025 1860 2 191 0 
400 1 0.00244025 1860 24 0 41 
400 1 0.00244025 1860 25 9 0 
400 1 0.00244025 1870 1 0 133 
400 1 0.00244025 1870 2 195 0 
400 1 0.00244025 1870 24 0 67 
400 1 0.00244025 1870 25 5 0 
400 1 0.00244025 1880 1 0 150 
400 1 0.00244025 1880 2 200 0 
400 1 0.00244025 1880 24 0 50 
400 1 0.00244025 1890 1 0 129 
400 1 0.00244025 1890 26 0 3 
400 1 0.00244025 1890 2 200 0 
400 1 0.00244025 1890 24 0 68 
400 1 0.00244025 1900 1 0 103 
400 1 0.00244025 1900 2 200 0 
400 1 0.00244025 1900 24 0 83 
400 1 0.00244025 1900 27 0 1 
400 1 0.00244025 1900 26 0 13 
400 1 0.00244025 1910 1 0 106 
400 1 0.00244025 1910 2 200 0 
400 1 0.00244025 1910 24 0 94 
400 1 0.00244025 1920 1 0 151 
400 1 0.00244025 1920 2 200 0 
400 1 0.00244025 1920 24 0 48 
400 1 0.00244025 1920 28 0 1 
400 1 0.00244025 1930 1 0 127 
400 1 0.00244025 1930 2 200 0 
400 1 0.00244025 1930 24 0 73 
400 1 0.00244025 1940 1 0 84 
400 1 0.00244025 1940 2 200 0 
400 1 0.00244025 1940 24 0 116 
400 1 0.00244025 1950 1 0 88 
400 1 0.00244025 1950 2 200 0 
400 1 0.00244025 1950 24 0 112 
400 1 0.00244025 1960 1 0 99 
400 1 0.00244025 1960 2 199 0 
400 1 0.00244025 1960 24 1 55 
400 1 0.00244025 1960 29 0 46 
400 1 0.00244025 1970 1 0 86 
400 1 0.00244025 1970 2 199 0 
400 1 0.00244025 1970 30 1 0 
400 1 0.00244025 1970 24 0 64 
400 1 0.00244025 1970 29 0 33 
400 1 0.00244025 1970 31 0 17 
400 1 0 1980 1 0 73 
400 1 0 1980 2 200 0 
400 1 0 1980 24 0 73 
400 1 0 1980 29 0 18 
400 1 0 1980 31 0 36 
400 1 0 1990 1 0 19 
400 1 0 1990 2 200 0 
400 1 0 1990 24 0 108 
400 1 0 1990 29 0 11 
400 1 0 1990 31 0 62 
400 1 0 2000 1 0 9 
400 1 0 2000 2 200 0 
400 1 0 2000 24 0 109 
400 1 0 2000 29 0 16 
400 1 0 2000 31 0 66 
