pop rep mig tem esp abund1 abund2 
400 1 0 620 18 9 0 
400 1 0 630 4 0 200 
400 1 0 630 7 33 0 
400 1 0 630 8 92 0 
400 1 0 630 16 71 0 
400 1 0 630 18 4 0 
400 1 0 640 4 0 200 
400 1 0 640 7 39 0 
400 1 0 640 8 133 0 
400 1 0 640 20 10 0 
400 1 0 640 16 15 0 
400 1 0 640 18 3 0 
400 1 0 650 4 0 200 
400 1 0 650 7 63 0 
400 1 0 650 8 114 0 
400 1 0 650 21 9 0 
400 1 0 650 16 7 0 
400 1 0 650 18 7 0 
400 1 0 660 4 0 200 
400 1 0 660 7 47 0 
400 1 0 660 8 121 0 
400 1 0 660 22 13 0 
400 1 0 660 18 16 0 
400 1 0 660 21 3 0 
400 1 0 670 4 0 200 
400 1 0 670 7 59 0 
400 1 0 670 8 106 0 
400 1 0 670 18 15 0 
400 1 0 670 22 20 0 
400 1 0 680 4 0 200 
400 1 0 680 7 36 0 
400 1 0 680 8 149 0 
400 1 0 680 18 12 0 
400 1 0 680 22 3 0 
400 1 0 690 4 0 200 
400 1 0 690 7 49 0 
400 1 0 690 8 140 0 
400 1 0 690 18 11 0 
400 1 0 700 4 0 200 
400 1 0 700 7 52 0 
400 1 0 700 8 140 0 
400 1 0 700 18 8 0 
400 1 0 710 4 0 200 
400 1 0 710 7 32 0 
400 1 0 710 8 168 0 
400 1 0 720 4 0 200 
400 1 0 720 7 22 0 
400 1 0 720 8 175 0 
400 1 0 720 23 3 0 
400 1 0 730 4 0 199 
400 1 0 730 24 0 1 
400 1 0 730 7 18 0 
400 1 0 730 8 182 0 
400 1 0 740 4 0 200 
400 1 0 740 8 200 0 
400 1 0 750 4 0 200 
400 1 0 750 8 200 0 
400 1 0 760 4 0 200 
400 1 0 760 8 200 0 
400 1 0 770 4 0 200 
400 1 0 770 8 200 0 
400 1 0 780 4 0 200 
400 1 0 780 8 200 0 
400 1 0 790 4 0 200 
400 1 0 790 8 200 0 
400 1 0 800 4 0 200 
400 1 0 800 8 200 0 
400 1 0 810 4 0 200 
400 1 0 810 8 200 0 
400 1 0 820 4 0 200 
400 1 0 820 8 199 0 
400 1 0 820 25 1 0 
400 1 0 830 4 0 200 
400 1 0 830 8 199 0 
400 1 0 830 26 1 0 
400 1 0 840 4 0 196 
400 1 0 840 27 0 4 
400 1 0 840 8 200 0 
400 1 0.00808333 850 4 3 200 
400 1 0.00808333 850 8 197 0 
400 1 0.00808333 860 4 0 167 
400 1 0.00808333 860 8 200 33 
400 1 0.00808333 870 4 12 175 
400 1 0.00808333 870 8 188 25 
400 1 0.00808333 880 4 25 166 
400 1 0.00808333 880 8 175 2 
400 1 0.00808333 880 28 0 32 
400 1 0.00808333 890 29 41 0 
400 1 0.00808333 890 4 2 180 
400 1 0.00808333 890 8 154 6 
400 1 0.00808333 890 28 3 14 
400 1 0.00808333 900 4 18 155 
400 1 0.00808333 900 8 152 20 
400 1 0.00808333 900 28 0 25 
400 1 0.00808333 900 29 30 0 
400 1 0.00808333 910 30 46 0 
400 1 0.00808333 910 4 2 137 
400 1 0.00808333 910 8 127 21 
400 1 0.00808333 910 28 0 42 
400 1 0.00808333 910 29 25 0 
400 1 0.00808333 920 4 0 140 
400 1 0.00808333 920 8 81 24 
400 1 0.00808333 920 28 0 36 
400 1 0.00808333 920 29 101 0 
400 1 0.00808333 920 30 18 0 
400 1 0.00808333 930 4 0 102 
400 1 0.00808333 930 8 76 24 
400 1 0.00808333 930 28 0 74 
400 1 0.00808333 930 29 85 0 
400 1 0.00808333 930 30 39 0 
400 1 0.00808333 940 4 0 100 
400 1 0.00808333 940 8 70 0 
400 1 0.00808333 940 31 0 52 
400 1 0.00808333 940 28 0 48 
400 1 0.00808333 940 29 47 0 
400 1 0.00808333 940 32 16 0 
400 1 0.00808333 940 33 4 0 
400 1 0.00808333 940 30 63 0 
400 1 0 950 4 0 76 
400 1 0 950 8 45 0 
400 1 0 950 28 0 16 
400 1 0 950 29 61 0 
400 1 0 950 30 72 0 
400 1 0 950 31 0 108 
400 1 0 950 32 10 0 
400 1 0 950 33 12 0 
400 1 0 960 34 0 31 
400 1 0 960 4 0 51 
400 1 0 960 35 8 0 
400 1 0 960 8 9 0 
400 1 0 960 28 0 12 
400 1 0 960 29 79 0 
400 1 0 960 30 89 0 
400 1 0 960 31 0 106 
400 1 0 960 33 15 0 
400 1 0 970 4 0 41 
400 1 0 970 28 0 4 
400 1 0 970 29 97 0 
400 1 0 970 30 64 0 
400 1 0 970 31 0 147 
400 1 0 970 33 28 0 
400 1 0 970 34 0 8 
400 1 0 970 35 11 0 
400 1 0 980 4 0 63 
400 1 0 980 29 90 0 
400 1 0 980 30 72 0 
400 1 0 980 31 0 129 
400 1 0 980 33 25 0 
400 1 0 980 34 0 8 
400 1 0 980 35 13 0 
400 1 0 990 36 0 36 
400 1 0 990 4 0 49 
400 1 0 990 29 81 0 
400 1 0 990 30 83 0 
400 1 0 990 31 0 115 
400 1 0 990 33 17 0 
400 1 0 990 35 19 0 
400 1 0 1000 4 0 51 
400 1 0 1000 29 124 0 
400 1 0 1000 30 31 0 
400 1 0 1000 31 0 132 
400 1 0 1000 37 0 3 
400 1 0 1000 33 23 0 
400 1 0 1000 35 22 0 
400 1 0 1000 36 0 14 
400 1 0 1010 4 0 24 
400 1 0 1010 29 154 0 
400 1 0 1010 30 36 0 
400 1 0 1010 31 0 170 
400 1 0 1010 33 5 0 
400 1 0 1010 35 5 0 
400 1 0 1010 36 0 6 
400 1 0 1020 4 0 1 
400 1 0 1020 29 135 0 
400 1 0 1020 30 52 0 
400 1 0 1020 31 0 196 
400 1 0 1020 35 13 0 
400 1 0 1020 36 0 3 
400 1 0 1030 29 125 0 
400 1 0 1030 30 66 0 
400 1 0 1030 31 0 200 
400 1 0 1030 35 9 0 
400 1 0 1040 29 150 0 
400 1 0 1040 30 38 0 
400 1 0 1040 31 0 200 
400 1 0 1040 35 12 0 
400 1 0 1050 29 113 0 
400 1 0 1050 38 6 0 
400 1 0 1050 30 62 0 
400 1 0 1050 31 0 200 
400 1 0 1050 35 19 0 
400 1 0 1060 29 138 0 
400 1 0 1060 30 50 0 
400 1 0 1060 31 0 200 
400 1 0 1060 35 12 0 
400 1 0 1070 29 172 0 
400 1 0 1070 30 12 0 
400 1 0 1070 31 0 200 
400 1 0 1070 35 16 0 
400 1 0 1080 29 178 0 
400 1 0 1080 31 0 200 
400 1 0 1080 35 22 0 
400 1 0 1090 29 184 0 
400 1 0 1090 31 0 200 
400 1 0 1090 35 16 0 
400 1 0.00808333 1100 29 185 0 
400 1 0.00808333 1100 31 2 200 
400 1 0.00808333 1100 35 13 0 
400 1 0.00808333 1110 29 186 17 
400 1 0.00808333 1110 31 0 183 
400 1 0.00808333 1110 35 14 0 
400 1 0.00808333 1120 29 186 39 
400 1 0.00808333 1120 31 0 161 
400 1 0.00808333 1120 35 14 0 
400 1 0.00808333 1130 29 192 10 
400 1 0.00808333 1130 39 0 14 
400 1 0.00808333 1130 31 0 176 
400 1 0.00808333 1130 35 8 0 
400 1 0.00808333 1140 29 200 0 
400 1 0.00808333 1140 31 0 169 
400 1 0.00808333 1140 39 0 31 
400 1 0.00808333 1150 29 200 0 
400 1 0.00808333 1150 31 0 174 
400 1 0.00808333 1150 39 0 26 
400 1 0 1160 29 196 0 
400 1 0 1160 31 4 176 
400 1 0 1160 39 0 24 
400 1 0 1170 29 188 0 
400 1 0 1170 40 12 0 
400 1 0 1170 31 0 187 
400 1 0 1170 39 0 13 
400 1 0 1180 29 183 0 
400 1 0 1180 31 0 192 
400 1 0 1180 39 0 8 
400 1 0 1180 40 17 0 
400 1 0 1190 29 190 0 
400 1 0 1190 31 0 189 
400 1 0 1190 39 0 11 
400 1 0 1190 40 10 0 
400 1 0 1200 29 180 0 
400 1 0 1200 31 0 186 
400 1 0 1200 39 0 14 
400 1 0 1200 40 20 0 
400 1 0 1210 29 186 0 
400 1 0 1210 31 0 170 
400 1 0 1210 39 0 30 
400 1 0 1210 40 14 0 
400 1 0 1220 29 150 0 
400 1 0 1220 31 0 182 
400 1 0 1220 39 0 18 
400 1 0 1220 40 50 0 
400 1 0 1230 29 156 0 
400 1 0 1230 31 0 189 
400 1 0 1230 39 0 11 
400 1 0 1230 40 44 0 
400 1 0 1240 29 126 0 
400 1 0 1240 31 0 188 
400 1 0 1240 39 0 12 
400 1 0 1240 40 73 0 
400 1 0 1240 41 1 0 
400 1 0 1250 29 130 0 
400 1 0 1250 31 0 174 
400 1 0 1250 39 0 26 
400 1 0 1250 40 70 0 
400 1 0 1260 29 108 0 
400 1 0 1260 31 0 179 
400 1 0 1260 39 0 21 
400 1 0 1260 40 92 0 
400 1 0 1270 29 125 0 
400 1 0 1270 31 0 185 
400 1 0 1270 39 0 15 
400 1 0 1270 40 75 0 
400 1 0 1280 29 126 0 
400 1 0 1280 31 0 200 
400 1 0 1280 40 74 0 
400 1 0 1290 29 142 0 
400 1 0 1290 31 0 200 
400 1 0 1290 40 58 0 
400 1 0 1300 29 128 0 
400 1 0 1300 31 0 200 
400 1 0 1300 40 72 0 
400 1 0 1310 29 96 0 
400 1 0 1310 31 0 200 
400 1 0 1310 40 104 0 
400 1 0 1320 29 85 0 
400 1 0 1320 31 0 200 
400 1 0 1320 40 115 0 
400 1 0.00808333 1330 29 85 0 
400 1 0.00808333 1330 31 11 200 
400 1 0.00808333 1330 40 104 0 
400 1 0.00808333 1340 29 53 0 
400 1 0.00808333 1340 42 16 0 
400 1 0.00808333 1340 31 0 200 
400 1 0.00808333 1340 40 131 0 
400 1 0 1350 29 58 0 
400 1 0 1350 31 0 200 
400 1 0 1350 40 132 0 
400 1 0 1350 42 10 0 
400 1 0.00808333 1360 29 56 0 
400 1 0.00808333 1360 31 10 200 
400 1 0.00808333 1360 40 134 0 
400 1 0.00808333 1370 29 65 10 
400 1 0.00808333 1370 31 6 190 
400 1 0.00808333 1370 40 129 0 
400 1 0.00808333 1380 29 44 0 
400 1 0.00808333 1380 43 0 17 
400 1 0.00808333 1380 31 25 183 
400 1 0.00808333 1380 40 131 0 
400 1 0 1390 29 29 0 
400 1 0 1390 44 38 0 
400 1 0 1390 45 2 0 
400 1 0 1390 31 0 165 
400 1 0 1390 40 131 0 
400 1 0 1390 43 0 35 
400 1 0 1400 29 75 0 
400 1 0 1400 31 0 192 
400 1 0 1400 40 79 0 
400 1 0 1400 43 0 8 
400 1 0 1400 44 46 0 
400 1 0 1410 29 73 0 
